,Groton,Lyme/Old Lyme,NMH,Belmont Hill,Nobles,Brooks,Taft,BB&N,Frederick Gunn,Canterbury,St. Mark's
Groton,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,
NMH,,,,,,,,,,,
Belmont Hill,,,,,1.27,,,,,,
Nobles,,,1.7,,,,,,,,
Brooks,6.6,,,,,,,,,,
Taft,,,,,,,,27.8,,,
BB&N,,,,19.62,14.44,,,,,,
Frederick Gunn,,63.8,,,,,,,,,
Canterbury,,65.6,,,,,,,1.8,,
St. Mark's,,,,,,,24.1,51.9,,,
