,Belmont Hill,St. Mary's-Lynn,Nobles,Hopkins,BB&N
Belmont Hill,,,,,
St. Mary's-Lynn,,,,,
Nobles,10.38,,,,
Hopkins,,19.9,,,
BB&N,,,39.33,,
