,Cambridge RLS,Nobles,Choate,Pomfret,BB&N,Frederick Gunn,Taft,Miss Porter's,Winsor
Cambridge RLS,,,,,,,,,
Nobles,,,,,,,,,
Choate,3.92,,,,,,,,
Pomfret,,,,,26.7,,,,
BB&N,,32.67,,,,,,,
Frederick Gunn,,,,9.2,35.9,,,,
Taft,,,,25.5,52.2,16.3,,,
Miss Porter's,,,,41.7,68.4,32.5,16.2,,3.7
Winsor,35.54,,31.62,38.0,64.7,28.8,12.5,,
