,Belmont Hill,Brooks,Groton,Lyme/Old Lyme,Cambridge RLS,Nobles,Pomfret,Taft,Middlesex,BB&N,Hopkins
Belmont Hill,,,,,,,,,,,
Brooks,,,,,,,,,,,
Groton,,,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,,,0.5
Cambridge RLS,,,11.85,,,,,,,,
Nobles,17.77,,,,,,,,,,
Pomfret,,,19.9,,,,,,,,
Taft,,,25.0,,,,5.1,,,,
Middlesex,,33.0,,,,,,,,,
BB&N,40.0,,,,,43.22,,21.1,,,
Hopkins,81.8,131.0,,,,,,,98.0,,
