,Belmont Hill,Brooks,St. Mary's-Lynn,Nobles,Pomfret,Hopkins,Groton,BB&N
Belmont Hill,,,,,,,,
Brooks,,,,,,,,
St. Mary's-Lynn,,,,,,,,
Nobles,10.38,,,,,,,
Pomfret,,,,,,,,13.4
Hopkins,,,19.9,,,,,
Groton,,,,27.14,,,,
BB&N,,56.8,,39.33,,,,
