1,BB&N,5,,5,,5,,5,
2024-04-27,Groton,5:44.0,Groton,5:34.3,Groton,6:03.2,Groton,6:07.6
,Pomfret,6:21.3,Taft,5:56.8,Taft,6:14.7,Pomfret,6:40.6
,,,Pomfret,6:43.7,Pomfret,7:01.2,Taft,6:45.5
,,,,,,,,
,Brooks,6:23.0,Brooks,6:08.9,Cambridge RLS,6:12.5,NMH,6:22.7
,Cambridge RLS,6:35.3,NMH,6:18.8,Brooks,6:13.4,Brooks,6:25.2
,Middlesex,6:38.2,Middlesex,6:20.6,Middlesex,6:27.4,Middlesex,6:41.4
,NMH,6:52.0,Cambridge RLS,6:22.0,NMH,6:45.1,Cambridge RLS,6:54.0
,,,,,,,,
,Lyme/Old Lyme,5:45.2,Lyme/Old Lyme,6:10.3,,,,
,Frederick Gunn,5:47.2,Greenwich Academy,6:18.8,,,,
,Canterbury,5:49.2,Miss Porter's,6:20.7,,,,
,Greenwich Academy,5:52.9,Canterbury,7:11.8,,,,
,Miss Porter's,6:04.6,,,,,,
,,,,,,,,
,Nobles,6:19.7,Nobles,6:21.7,Nobles,6:50.6,Nobles,6:48.9
,St. Mark's,6:34.3,St. Mark's,6:48.8,St. Mark's,7:14.8,St. Mark's,7:29.5
,Brewster Academy,6:39.0,Newton Country Day,7:14.4,Newton Country Day,7:25.9,Newton Country Day,8:17.4
,Newton Country Day,7:31.2,Brewster Academy,7:34.5,,,,
,,,,,,,,
,Valley Regional,6:47.0,Valley Regional,7:27.0,,,,
,St. Mary's-Lynn,6:48.8,Lincoln,7:40.0,,,,
,St. Mary Academy-Bay View,6:54.0,St. Mary Academy-Bay View,7:47.6,,,,
,Lincoln,7:01.3,St. Mary's-Lynn,8:24.6,,,,
,,,,,,,,
,BB&N,4:48.63,Winsor,5:05.74,Winsor,5:05.92,Winsor,5:10.08
,Winsor,4:55.04,BB&N,5:10.17,BB&N,5:05.92,BB&N,5:18.21
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-04-28,Derryfield,7:20.99,,,,,,
,Berwick,7:27.7,,,,,,
,Worcester Academy,8:19.85,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-04-29,Marianapolis Prep,7:18,,,,,,
,Suffield,7:40,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-05-01,Lyme/Old Lyme,6:11.64,Lyme/Old Lyme,6:39.01,,,,
,Middletown,6:25.40,Middletown,7:14.50,,,,
,,,,,,,,
,Cambridge RLS,4:46,Cambridge RLS,5:01,Winsor,5:06,Winsor,5:11
,Winsor,4:50,Winsor,5:07,Cambridge RLS,5:15,Cambridge RLS,5:48
,Newton Country Day,5:11,Newton Country Day,5:32,Newton Country Day,5:22,Newton Country Day,5:50
,,,,,,,,
,St. Mary's-Lynn,6:13.55,St. Mary's-Lynn,6:47.23,,,,
,Marianapolis Prep,6:34.74,Marianapolis Prep,6:53.76,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-05-04,Nobles,4:47.68,Nobles,4:50.65,Nobles,4:59.24,Nobles,5:12.62
,Winsor,4:51.21,Winsor,5:06.16,Winsor,5:05.99,Winsor,5:14.00
,,,,,,,,
,Cambridge RLS,4:19.5,Groton,4:20.1,Groton,4:37.0,Groton,4:51.0
,Groton,4:23.5,Cambridge RLS,4:30.6,Cambridge RLS,4:40.6,Cambridge RLS,5:10.2
,,,,,,,,
,BB&N,4:50.3,BB&N,5:09.6,BB&N,5:15.1,BB&N,5:16.4
,Middlesex,4:52.2,Middlesex,5:13.3,Middlesex,5:17.7,Middlesex,5:27.8
,Newton Country Day,5:26.8,Newton Country Day,5:21.4,Newton Country Day,5:30.6,Newton Country Day,6:00.2
,,,,,,,,
,Greenwich Academy,4:48.7,Greenwich Academy,4:48.9,,,,
,Greenwich Country Day,5:12.9,Greenwich Country Day,4:58.3,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
2024-05-05,St. Mark's,5:59,,,,,,
,Pingree,6:38,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
