Race,Boat,1,2,3,4,5,6
1,G4 H1,LHRC-B,Hopkins,Taft,NMH,LHRC-A,
,,6:53.42,6:51.06,N/A,6:23.7,6:40.14,
2,G4 H2,Rumsey-B,Choate-B,Choate-A,Rumsey-A,L/OL,GCDS
,,7:03.43,6:36.44,6:14.09,6:44.57,6:53.35,6:49.28
3,B4 H1,Cbury,Pomfret,Taft,NMH,L/OL,LHRC
,,7:09.26,6:00.33,5:54.48,6:09.78,6:22.36,6:29.25
4,B4 H2,Rumsey-B,Hopkins,Brewster,Rumsey-A,Berksh.,
,,6:14.16,6:23.73,6.07.55,6:02.07,6:53.27,
5,G3 H1,,LHRC,Choate,GA,L/OL,
,,,6:12.68,6:06.32,N/A,7:17.11,
6,G3 H2,,Pomfret,NMH,Taft,Hopkins,
,,,7:05.89,6:13.09,6:15.51,7:14.55,
7,B3 H1,Gunn,LHRC-A,Hopkins,NMH,Pomfret,LHRC-B
,,6:27.74,5:50.87,5:58.82,5:47.32,5:43.59,6:02.3
8,B3 H2,Choate,King,Berksh.,Taft,L/OL,
,,6:24.28,5:53.33,5:39.39,5:46.57,5:43.23,
9,G2 H1,GCDS,Pomfret,L/OL,Choate,Brewster,Berksh.
,,6:28.76,6:41.94,6:00.86,5:56.2,6:27.61,6:40.11
10,G2 H2,LHRC-Forman,GA,Taft,NMH,Hopkins,Cbury
,,5:54.02,6:07.32,5:50.7,5:55.24,6:12.99,7:29.36
11,B2 H1,LHRC-Forman,L/OL,Pomfret,NMH,Brewster,
,,5:26.23,5:30.8,5:31.82,5:26.63,6:10.88,
12,B2 H2,King,Choate,Taft,Berksh.,Hopkins,
,,5:40.36,5:38.79,5:31.5,5:33.22,5:33.85,
13,G1 H1,Suffield,L/OL,GA,NMH,Hopkins,Cbury
,,6:55.19,5:53.34,5:55.09,5:55.72,5:47.79,6:00.19
14,G1 H2,Pomfret,Brewster,Choate,Taft,Gunn,Berksh.
,,6:26.07,5:53.01,5:45.95,5:42.9,5:50.93,6:00.36
15,B1 H1,King,Pomfret,Hopkins,NMH,Taft,Brewster
,,5:11.11,5:10.28,5:08.3,5:08.71,5:09.14,5:28.37
16,B1 H2,Suffield,Gunn,L/OL,Choate,Berksh.,Cbury
,,5:29.51,5:18.03,5:14.46,5:21.85,5:09.5,6:00.46
1,G4,Hopkins,LHRC-A,NMH,Choate,Rumsey-A,GCDS
,,7:04.99,6:49.82,6:10.2,6:13.83,6:21.28,N/A
2,B4,NMH,Pomfret,Taft,Rumsey-A,Brewster,Hopkins
,,5:58.5,5:56.26,5:52.68,6:00.47,6:10.22,6:10.66
3,G3,L/OL,LHRC,Choate,NMH,Taft,Pomfret
,,7:03.26,6:08.44,6:00.7,6:06.98,6:10.94,7:09.06
4,B3,LHRC-A,NMH,Pomfret,Berksh.,L/OL,Taft
,,5:42.93,5:37.3,5:41.94,5:36.3,5:35.79,5:42.44
5,G2V-P,Pomfret,Berksh.,GCDS,GA,Hopkins,Cbury
,,6:27.07,6:34.38,6:41.6,6:10.4,6:13.02,7:29.6
6,B2V-P,,Brewster,Pomfret,Choate,King,
,,,6:08.4,5:33.47,5:43.8,5:37.58,
7,G2V-G,Brewster,L/OL,Choate,Taft,LHRC-Forman,NMH
,,6:30.76,6:07.89,5:49.4,5:52.97,5:58.01,5:50.53
8,B2V-G,L/OL,NMH,LHRC-Forman,Taft,Berksh.,Hopkins
,,5:33.1,5:14.56,5:19.91,5:34.36,5:23.81,5:29.77
9,G1V-P,Suffield,Cbury,NMH,Brewster,Berksh.,Pomfret
,,6:52.71,5:52.57,5:57.36,5:51.5,6:04.6,6:29.91
10,B1V-P,Brewster,King,Pomfret,Choate,Suffield,Cbury
,,5:29.9,5:11.16,5:13.37,5:29.59,5:24.73,6:05.28
11,G1V-G,GA,L/OL,Hopkins,Taft,Choate,Gunn
,,5:57.95,5:55.62,5:45.32,5:39.9,5:42.4,5:53.7
12,B1V-G,Taft,NMH,Hopkins,Berksh.,L/OL,Gunn
,,5:15.49,5:08.9,5:08.51,5:04.21,5:09.67,5:21.95
