,Brooks,Groton,Nobles,Belmont Hill,Cambridge RLS,Brewster Academy,Pingree,Taft,St. Mark's,BB&N,Thayer,Pomfret,NMH
Brooks,,,,,,,,,,,,,
Groton,,,,,,,,,,,,,
Nobles,,,,,,,,,,,,,
Belmont Hill,,,7.73,,,,,,,,,,
Cambridge RLS,15.4,,,,,,,,,,,,
Brewster Academy,19.2,,,,,,,,,,,,
Pingree,28.0,,,,,8.8,,,,,,,
Taft,,29.9,,,,,,,,12.5,,,
St. Mark's,,66.12,,,,,,,,,,,
BB&N,,,40.0,36.92,9.67,,,,,,,,
Thayer,45.9,,,,,26.7,17.9,,,,,,
Pomfret,,26.0,59.6,,,,,4.8,,17.3,,,
NMH,82.6,,,,67.2,,,,,,,,
