,Groton,Middlesex,Nobles,Winsor,Choate,St. Mark's,Brooks,Cambridge RLS,BB&N,NMH,Thayer
Groton,,,,,,,,,,,
Middlesex,,,,,,,,,,,
Nobles,,,,,,,,,,,
Winsor,,,,,,,,,,,
Choate,,,,,,,2.0,,,,
St. Mark's,4.56,,,10.3,,,,,8.0,,
Brooks,,32.0,,,,,,,,,
Cambridge RLS,,,,3.46,,,,,33.89,,
BB&N,,,18.89,2.3,,,18.4,,,,
NMH,,,101.1,,,,,,,,
Thayer,,,,,,,75.9,,57.5,,
