,Brooks,Lyme/Old Lyme,Nobles,Winsor,Groton,BB&N,Miss Porter's,Frederick Gunn,Canterbury
Brooks,,,,,,,,,
Lyme/Old Lyme,,,,,,,,,
Nobles,,,,,,,,,
Winsor,,,,,,4.0,,,
Groton,6.12,,,,,,,,
BB&N,,,14.44,,,,,,
Miss Porter's,,,,24.0,,28.0,,,
Frederick Gunn,,13.3,,39.7,,43.7,15.7,,
Canterbury,,178.5,,,,,,165.2,
