,Lyme/Old Lyme,Nobles,Belmont Hill,BB&N,Frederick Gunn,Canterbury
Lyme/Old Lyme,,,,,,
Nobles,,,,,,
Belmont Hill,,1.27,,,,
BB&N,,14.44,19.62,,,
Frederick Gunn,63.8,,,,,
Canterbury,65.6,,,,1.8,
