,BB&N,Middlesex,Choate,Nobles,Miss Porter's,Winsor
BB&N,,,,,,
Middlesex,,,,,,
Choate,,13.0,,,,
Nobles,21.22,,,,,
Miss Porter's,49.3,,,,,
Winsor,86.5,,,,37.2,
