,Belmont Hill,Groton,Choate,Cambridge RLS,Nobles,BB&N,Brooks,NMH,Frederick Gunn,Taft,Middlesex,Pomfret
Belmont Hill,,,,,,,,,,,,
Groton,,,,,,,,,,,,
Choate,,,,,,,,,,,5.7,
Cambridge RLS,,8.35,,,,,,,,,,
Nobles,8.42,,,,,,,,,,,
BB&N,,,,,27.56,,,,,,,
Brooks,,,,20.0,,,,11.7,,,,
NMH,32.4,,,8.3,,,,,,,,
Frederick Gunn,,,,,,44.4,,,,21.2,,
Taft,,63.5,,,,23.2,,,,,,
Middlesex,,,,60.3,,,40.3,52.0,,,,
Pomfret,130.2,,,,,,,97.8,,,,
