,Belmont Hill,Lyme/Old Lyme,Nobles,BB&N,Frederick Gunn,Canterbury
Belmont Hill,,,,,,
Lyme/Old Lyme,,,,,,
Nobles,,,,,,
BB&N,19.62,,14.44,,,
Frederick Gunn,,63.8,,,,
Canterbury,,65.6,,,1.8,
