,Brooks,Groton,Nobles,Belmont Hill,Cambridge RLS,Taft,Pomfret,St. Mark's,BB&N,NMH
Brooks,,,,,,,,,,
Groton,,,,,,,,,,
Nobles,,,,,,,,,,
Belmont Hill,,,7.73,,,,,,,
Cambridge RLS,15.4,,,,,,,,,
Taft,,29.9,,,,,,,12.5,
Pomfret,,26.0,,,,4.8,,,17.3,
St. Mark's,,66.12,,,,,,,,
BB&N,,,40.0,36.92,9.67,,,,,
NMH,82.6,,,,67.2,,,,,
