,Lyme/Old Lyme,Nobles,Frederick Gunn,BB&N,Canterbury
Lyme/Old Lyme,,,,,
Nobles,,,,,
Frederick Gunn,13.3,,,,
BB&N,,14.44,,,
Canterbury,178.5,,165.2,,
