,Groton,Middlesex,Nobles,St. Mark's,Winsor,BB&N,Brooks,Cambridge RLS
Groton,,,,,,,,
Middlesex,,,,,,,,
Nobles,,,,,,,,
St. Mark's,4.56,,,,,,,
Winsor,,,,,,7.73,,
BB&N,,,18.89,,,,,
Brooks,,32.0,,,,,,
Cambridge RLS,,,,,3.46,33.89,,
